The sun is shining.	El sol esta brillando.
He is preparing dinner.	El esta preparando la cena.
The food is warm.	La comida esta tibia.
I am feeling cold.	Tengo frio.
You are very cheerful.	Eres muy alegre.
The sky is blue and clear.	El cielo esta azul y despejado.
We are planning a barbecue.	Estamos planeando una barbacoa.
She is reading a novel.	Ella esta leyendo una novela.
He is feeding the baby.	El esta alimentando al bebe.
The car is expensive.	El coche es caro.
I am learning to cook.	Estoy aprendiendo a cocinar.
You are very punctual.	Eres muy puntual.
The flowers are fragrant.	Las flores son fragantes.
We are watching a show.	Estamos viendo un espectaculo.
She is making a cake.	Ella esta haciendo un pastel.
He is studying chemistry.	El esta estudiando quimica.
The room is cozy.	La habitacion es acogedora.
I am calling my dad.	Estoy llamando a mi papa.
You are very talented.	Eres muy talentoso.
The food is spicy.	La comida esta picante.
We are cleaning the kitchen.	Estamos limpiando la cocina.
She is organizing her books.	Ella esta organizando sus libros.
He is playing the flute.	El esta tocando la flauta.
The flowers are red.	Las flores son rojas.
I am feeling warm.	Me siento caliente.
You are very thoughtful.	Eres muy considerado.
The book is interesting.	El libro es interesante.
We are learning English.	Estamos aprendiendo ingles.
She is brushing her hair.	Ella esta cepillandose el cabello.
He is fixing the car.	El esta arreglando el coche.
The water is clear.	El agua esta clara.
I am writing a poem.	Estoy escribiendo un poema.
You are very creative.	Eres muy creativo.
The car is new.	El coche es nuevo.
We are baking cookies.	Estamos horneando galletas.
She is knitting a scarf.	Ella esta tejiendo una bufanda.
He is playing the piano.	El esta tocando el piano.
The flowers are beautiful.	Las flores son hermosas.
I am learning to swim.	Estoy aprendiendo a nadar.
You are very helpful.	Eres muy servicial.
The sky is clear.	El cielo esta despejado.
We are watching a movie.	Estamos viendo una pelicula.
She is making lunch.	Ella esta haciendo el almuerzo.
He is fixing the bike.	El esta arreglando la bicicleta.
The food is sweet.	La comida esta dulce.
I am feeling excited.	Me siento emocionado.
You are very patient.	Eres muy paciente.
The water is warm.	El agua esta tibia.
We are playing a game.	Estamos jugando un juego.
She is cleaning her room.	Ella esta limpiando su habitacion.
He is walking to work.	El esta caminando al trabajo.
The flowers are colorful.	Las flores son coloridas.
I am writing a story.	Estoy escribiendo una historia.
You are very polite.	Eres muy educado.
The car is fast.	El coche es rapido.
We are learning Spanish.	Estamos aprendiendo espanol.
She is brushing her teeth.	Ella esta cepillandose los dientes.
He is feeding the dog.	El esta alimentando al perro.
The sky is blue.	El cielo esta azul.
I am feeling grateful.	Me siento agradecido.
You are very kind.	Eres muy amable.
The food is delicious.	La comida esta deliciosa.
We are cleaning the house.	Estamos limpiando la casa.
She is organizing her desk.	Ella esta organizando su escritorio.
He is playing the drums.	El esta tocando la bateria.
The flowers are white.	Las flores son blancas.
I am learning to cook.	Estoy aprendiendo a cocinar.
You are very supportive.	Eres muy comprensivo.
The book is heavy.	El libro es pesado.
We are watching a play.	Estamos viendo una obra de teatro.
She is knitting a sweater.	Ella esta tejiendo un sueter.
He is studying biology.	El esta estudiando biologia.
The flowers are purple.	Las flores son moradas.
I am calling my sister.	Estoy llamando a mi hermana.
You are very generous.	Eres muy generoso.
The sky is blue.	El cielo esta azul.
We are cleaning the house.	Estamos limpiando la casa.
She is painting a mural.	Ella esta pintando un mural.
He is playing the guitar.	El esta tocando la guitarra.
The food is hot.	La comida esta caliente.
I am reading a novel.	Estoy leyendo una novela.
You are very clever.	Eres muy listo.
The car is fast.	El coche es rapido.
We are learning French.	Estamos aprendiendo frances.
She is brushing her teeth.	Ella esta cepillandose los dientes.
He is feeding the birds.	El esta alimentando a los pajaros.
The flowers are blooming.	Las flores estan floreciendo.
I am writing a letter.	Estoy escribiendo una carta.
You are very charming.	Eres muy encantador.
The water is cold.	El agua esta fria.
We are organizing a trip.	Estamos organizando un viaje.
She is baking a pie.	Ella esta horneando un pastel.
He is studying for a test.	El esta estudiando para un examen.
The sky is dark.	El cielo esta oscuro.
I am feeling relaxed.	Me siento relajado.
You are very brave.	Eres muy valiente.
The food is salty.	La comida esta salada.
We are cleaning the garage.	Estamos limpiando el garaje.
She is knitting a sweater.	Ella esta tejiendo un sueter.
He is playing chess.	El esta jugando ajedrez.
The flowers are pink.	Las flores son rosas.
I am calling my mom.	Estoy llamando a mi mama.
You are very honest.	Eres muy honesto.
The book is new.	El libro es nuevo.
We are taking a walk.	Estamos dando un paseo.
She is brushing her dog's fur.	Ella esta cepillando el pelaje de su perro.
He is preparing dinner.	El esta preparando la cena.
The food is warm.	La comida esta tibia.
I am feeling cold.	Tengo frio.
You are very cheerful.	Eres muy alegre.
The sky is blue and clear.	El cielo esta azul y despejado.
We are planning a barbecue.	Estamos planeando una barbacoa.
She is reading a novel.	Ella esta leyendo una novela.
He is feeding the baby.	El esta alimentando al bebe.
The car is expensive.	El coche es caro.
I am learning to cook.	Estoy aprendiendo a cocinar.
You are very puntual.	Eres muy puntual.
The flowers are fragrant.	Las flores son fragantes.
We are watching a show.	Estamos viendo un espectaculo.
She is making a cake.	Ella esta haciendo un pastel.
He is studying chemistry.	El esta estudiando quimica.
The room is cozy.	La habitacion es acogedora.
I am calling my dad.	Estoy llamando a mi papa.
You are very talented.	Eres muy talentoso.
The food is spicy.	La comida esta picante.
We are cleaning the kitchen.	Estamos limpiando la cocina.
She is organizing her books.	Ella esta organizando sus libros.
He is playing the flute.	El esta tocando la flauta.
The flowers are red.	Las flores son rojas.
I am feeling warm.	Me siento caliente.
You are very thoughtful.	Eres muy considerado.
The book is interesting.	El libro es interesante.
We are learning English.	Estamos aprendiendo ingles.
She is brushing her hair.	Ella esta cepillandose el cabello.
He is fixing the car.	El esta arreglando el coche.
The water is clear.	El agua esta clara.
I am writing a poem.	Estoy escribiendo un poema.
You are very creativo.	Eres muy creativo.
The car is new.	El coche es nuevo.
We are baking cookies.	Estamos horneando galletas.
She is knitting a scarf.	Ella esta tejiendo una bufanda.
He is playing the piano.	El esta tocando el piano.
The flowers are hermosas.	Las flores son hermosas.
I am learning to swim.	Estoy aprendiendo a nadar.
You are very helpful.	Eres muy servicial.
The sky is clear.	El cielo esta despejado.
We are watching a movie.	Estamos viendo una pelicula.
She is making lunch.	Ella esta haciendo el almuerzo.
He is fixing the bike.	El esta arreglando la bicicleta.
The food is sweet.	La comida esta dulce.
I am feeling excited.	Me siento emocionado.
You are very patient.	Eres muy paciente.
The water is warm.	El agua esta tibia.
We are playing a game.	Estamos jugando un juego.
She is cleaning her room.	Ella esta limpiando su habitacion.
He is walking to work.	El esta caminando al trabajo.
The flowers are colorful.	Las flores son coloridas.
I am writing a story.	Estoy escribiendo una historia.
You are very polite.	Eres muy educado.
The car is fast.	El coche es rapido.
We are learning Spanish.	Estamos aprendiendo espanol.
She is brushing her teeth.	Ella esta cepillandose los dientes.
He is feeding the dog.	El esta alimentando al perro.
The sky is blue.	El cielo esta azul.
I am feeling grateful.	Me siento agradecido.
You are very kind.	Eres muy amable.
The food is delicious.	La comida esta deliciosa.
We are cleaning the house.	Estamos limpiando la casa.
She is organizing her desk.	Ella esta organizando su escritorio.
He is playing the drums.	El esta tocando la bateria.
The flowers are white.	Las flores son blancas.
I am learning to cook.	Estoy aprendiendo a cocinar.
You are very supportive.	Eres muy comprensivo.
The book is heavy.	El libro es pesado.
We are watching a play.	Estamos viendo una obra de teatro.
She is knitting a sweater.	Ella esta tejiendo un sueter.
He is studying biology.	El esta estudiando biologia.
The flowers are purple.	Las flores son moradas.
I am calling my sister.	Estoy llamando a mi hermana.
You are very generous.	Eres muy generoso.
The sky is blue.	El cielo esta azul.
We are cleaning the house.	Estamos limpiando la casa.
She is painting a mural.	Ella esta pintando un mural.
He is playing the guitar.	El esta tocando la guitarra.
The food is hot.	La comida esta caliente.
I am reading a novel.	Estoy leyendo una novela.
You are very clever.	Eres muy listo.
The car is fast.	El coche es rapido.
We are learning French.	Estamos aprendiendo frances.
She is brushing her teeth.	Ella esta cepillandose los dientes.
He is feeding the birds.	El esta alimentando a los pajaros.
The flowers are blooming.	Las flores estan floreciendo.
I am writing a letter.	Estoy escribiendo una carta.
You are very charming.	Eres muy encantador.
The water is cold.	El agua esta fria.
We are organizing a trip.	Estamos organizando un viaje.
She is baking a pie.	Ella esta horneando un pastel.
He is studying for a test.	El esta estudiando para un examen.
The sky is dark.	El cielo esta oscuro.
The beach is relaxing.	La playa es relajante.
I enjoy reading books.	Disfruto leer libros.
You are an excellent teacher.	Eres un maestro excelente.
She is learning to drive.	Ella esta aprendiendo a conducir.
He is painting a portrait.	El esta pintando un retrato.
The dinner is ready.	La cena esta lista.
I need to buy new shoes.	Necesito comprar zapatos nuevos.
We are having a picnic.	Estamos haciendo un picnic.
They are watching a comedy.	Estan viendo una comedia.
The dog is sleeping.	El perro esta durmiendo.
She loves to dance.	Ella ama bailar.
He is fixing the roof.	El esta arreglando el techo.
I am planting flowers.	Estoy plantando flores.
The soup is delicious.	La sopa esta deliciosa.
You are very patient.	Eres muy paciente.
We are celebrating a birthday.	Estamos celebrando un cumpleanos.
She is knitting a hat.	Ella esta tejiendo un sombrero.
He is playing with his friends.	El esta jugando con sus amigos.
The weather is cold.	El clima esta frio.
I enjoy cooking.	Disfruto cocinar.
You are very talented.	Eres muy talentoso.
She is reading a newspaper.	Ella esta leyendo un periodico.
He is learning to surf.	El esta aprendiendo a surfear.
The room is dark.	La habitacion esta oscura.
I need more coffee.	Necesito mas cafe.
We are building a treehouse.	Estamos construyendo una casa en el arbol.
They are having fun.	Se estan divirtiendo.
The cake is chocolate.	El pastel es de chocolate.
You are very helpful.	Eres muy servicial.
She is studying hard.	Ella esta estudiando mucho.
He is mowing the lawn.	El esta cortando el cesped.
The water is clear.	El agua esta clara.
I love traveling.	Me encanta viajar.
We are playing soccer.	Estamos jugando futbol.
The movie is interesting.	La pelicula es interesante.
You are very kind.	Eres muy amable.
She is cooking breakfast.	Ella esta cocinando el desayuno.
He is fixing his bike.	El esta arreglando su bicicleta.
The sky is blue.	El cielo esta azul.
I am feeling sleepy.	Me siento con sueno.
We are dancing.	Estamos bailando.
The flowers are blooming.	Las flores estan floreciendo.
You are very brave.	Eres muy valiente.
She is making a salad.	Ella esta haciendo una ensalada.
He is reading a book.	El esta leyendo un libro.
The cat is playful.	El gato es jugueton.
I am writing a letter.	Estoy escribiendo una carta.
We are going shopping.	Vamos de compras.
The food is spicy.	La comida esta picante.
You are very creative.	Eres muy creativo.
She is practicing yoga.	Ella esta practicando yoga.
He is playing the guitar.	El esta tocando la guitarra.
The rain is heavy.	La lluvia es fuerte.
I enjoy hiking.	Disfruto hacer senderismo.
We are watching TV.	Estamos viendo television.
The coffee is hot.	El cafe esta caliente.
You are very smart.	Eres muy inteligente.
She is studying history.	Ella esta estudiando historia.
He is cooking dinner.	El esta cocinando la cena.
The car is fast.	El coche es rapido.
I am learning Spanish.	Estoy aprendiendo espanol.
We are cleaning the garden.	Estamos limpiando el jardin.
The room is clean.	La habitacion esta limpia.
You are very generous.	Eres muy generoso.
She is reading a novel.	Ella esta leyendo una novela.
He is washing the dishes.	El esta lavando los platos.
The sunset is beautiful.	El atardecer es hermoso.
I am feeling excited.	Me siento emocionado.
We are playing cards.	Estamos jugando a las cartas.
The weather is nice.	El clima esta agradable.
You are very friendly.	Eres muy amigable.
She is organizing her room.	Ella esta organizando su habitacion.
He is feeding the cat.	El esta alimentando al gato.
The water is cold.	El agua esta fria.
I need to study.	Necesito estudiar.
We are visiting the zoo.	Estamos visitando el zoologico.
The dog is barking.	El perro esta ladrando.
You are very honest.	Eres muy honesto.
She is cleaning the house.	Ella esta limpiando la casa.
He is learning to play piano.	El esta aprendiendo a tocar el piano.
The sky is clear.	El cielo esta despejado.
I am cooking lunch.	Estoy cocinando el almuerzo.
We are going on a hike.	Vamos de excursion.
The cake is sweet.	El pastel esta dulce.
You are very polite.	Eres muy educado.
She is painting a picture.	Ella esta pintando un cuadro.
He is playing chess.	El esta jugando ajedrez.
The flowers are colorful.	Las flores son coloridas.
I am learning to sew.	Estoy aprendiendo a coser.
We are having a barbecue.	Estamos haciendo una barbacoa.
The weather is perfect.	El clima es perfecto.
You are very thoughtful.	Eres muy considerado.
She is knitting a sweater.	Ella esta tejiendo un sueter.
He is practicing the piano.	El esta practicando el piano.
The food is cold.	La comida esta fria.
I enjoy running.	Disfruto correr.
We are cleaning the house.	Estamos limpiando la casa.
The sky is cloudy.	El cielo esta nublado.
You are very kind.	Eres muy amable.
She is baking cookies.	Ella esta horneando galletas.
He is fixing his car.	El esta arreglando su coche.
The dog is friendly.	El perro es amigable.
I am reading a magazine.	Estoy leyendo una revista.
We are playing basketball.	Estamos jugando baloncesto.
The coffee is strong.	El cafe esta fuerte.
You are very funny.	Eres muy divertido.
She is watching a movie.	Ella esta viendo una pelicula.
He is studying mathematics.	El esta estudiando matematicas.
The beach is crowded.	La playa esta llena de gente.
I am learning to drive.	Estoy aprendiendo a conducir.
We are having dinner.	Estamos cenando.
The cake is delicious.	El pastel esta delicioso.
You are very helpful.	Eres muy servicial.
She is reading a story.	Ella esta leyendo una historia.
He is playing the drums.	El esta tocando la bateria.
The flowers are beautiful.	Las flores son hermosas.
I am writing an email.	Estoy escribiendo un correo electronico.
We are watching a show.	Estamos viendo un espectaculo.
The weather is windy.	El clima esta ventoso.
You are very calm.	Eres muy tranquilo.
She is organizing a party.	Ella esta organizando una fiesta.
He is feeding the birds.	El esta alimentando a los pajaros.
The water is deep.	El agua es profunda.
I enjoy swimming.	Disfruto nadar.
We are playing volleyball.	Estamos jugando voleibol.
The coffee is bitter.	El cafe esta amargo.
You are very wise.	Eres muy sabio.
She is knitting a blanket.	Ella esta tejiendo una manta.
He is fixing his computer.	El esta arreglando su computadora.
The sky is pink.	El cielo esta rosado.
I am cooking dinner.	Estoy cocinando la cena.
We are watching the sunset.	Estamos viendo la puesta de sol.
The cake is moist.	El pastel esta humedo.
You are very reliable.	Eres muy confiable.
She is studying geography.	Ella esta estudiando geografia.
He is playing the violin.	El esta tocando el violin.
The flowers are fresh.	Las flores estan frescas.
I am writing a report.	Estoy escribiendo un informe.
We are visiting a museum.	Estamos visitando un museo.
The weather is humid.	El clima esta humedo.
You are very energetic.	Eres muy energetico.
She is making a sandwich.	Ella esta haciendo un sandwich.
He is playing soccer.	El esta jugando futbol.
The water is warm.	El agua esta tibia.
I enjoy painting.	Disfruto pintar.
We are having a party.	Estamos teniendo una fiesta.
The food is bland.	La comida esta sosa.
You are very courteous.	Eres muy cortes.
She is reading a letter.	Ella esta leyendo una carta.
He is feeding the dog.	El esta alimentando al perro.
The sky is gray.	El cielo esta gris.
I am feeling happy.	Me siento feliz.
We are going to the beach.	Vamos a la playa.
The cake is rich.	El pastel es rico.
You are very sincere.	Eres muy sincero.
She is organizing her closet.	Ella esta organizando su armario.
He is practicing the guitar.	El esta practicando la guitarra.
The flowers are vibrant.	Las flores son vibrantes.
I am writing a poem.	Estoy escribiendo un poema.
We are playing tennis.	Estamos jugando tenis.
The weather is sunny.	El clima esta soleado.
You are very enthusiastic.	Eres muy entusiasta.
She is knitting a scarf.	Ella esta tejiendo una bufanda.
He is studying physics.	El esta estudiando fisica.
The water is refreshing.	El agua es refrescante.
I enjoy listening to music.	Disfruto escuchar musica.
We are having a meeting.	Estamos teniendo una reunion.
The coffee is aromatic.	El cafe es aromatico.
You are very respectful.	Eres muy respetuoso.
She is making a pie.	Ella esta haciendo un pastel.
He is fixing his watch.	El esta arreglando su reloj.
The sky is bright.	El cielo esta brillante.
I am cooking breakfast.	Estoy cocinando el desayuno.
We are watching a documentary.	Estamos viendo un documental.
The cake is fluffy.	El pastel esta esponjoso.
You are very gentle.	Eres muy gentil.
She is studying literature.	Ella esta estudiando literatura.
He is playing video games.	El esta jugando videojuegos.
The flowers are delicate.	Las flores son delicadas.
I am writing a story.	Estoy escribiendo una historia.
We are visiting our neighbors.	Estamos visitando a nuestros vecinos.
The weather is rainy.	El clima esta lluvioso.
You are very knowledgeable.	Eres muy sabio.
She is organizing her books.	Ella esta organizando sus libros.
He is feeding the fish.	El esta alimentando a los peces.
The water is crystal clear.	El agua esta cristalina.
I enjoy playing the piano.	Disfruto tocar el piano.
We are having a picnic.	Estamos teniendo un picnic.
The food is tasty.	La comida esta sabrosa.
You are very courageous.	Eres muy valiente.
She is knitting socks.	Ella esta tejiendo calcetines.
He is studying art.	El esta estudiando arte.
The sky is clear at night.	El cielo esta despejado en la noche.
I am learning to paint.	Estoy aprendiendo a pintar.
We are watching the stars.	Estamos viendo las estrellas.
The cake is creamy.	El pastel esta cremoso.
You are very considerate.	Eres muy considerado.
She is reading poetry.	Ella esta leyendo poesia.
He is playing baseball.	El esta jugando beisbol.
The flowers are wilting.	Las flores se estan marchitando.
I am writing a journal.	Estoy escribiendo un diario.
We are visiting the park.	Estamos visitando el parque.
The weather is foggy.	El clima esta brumoso.
You are very organized.	Eres muy organizado.
She is making a smoothie.	Ella esta haciendo un batido.
He is feeding the birds.	El esta alimentando a los pajaros.
The water is icy.	El agua esta helada.
I enjoy reading novels.	Disfruto leer novelas.
We are having a discussion.	Estamos teniendo una discusion.
The food is nutritious.	La comida es nutritiva.
You are very thoughtful.	Eres muy considerado.
She is knitting mittens.	Ella esta tejiendo mitones.
He is studying chemistry.	El esta estudiando quimica.
The sky is overcast.	El cielo esta nublado.
I am learning to play the violin.	Estoy aprendiendo a tocar el violin.
We are watching a performance.	Estamos viendo una actuacion.
The cake is soft.	El pastel esta suave.
You are very resourceful.	Eres muy ingenioso.
She is reading a mystery.	Ella esta leyendo un misterio.
He is playing football.	El esta jugando futbol americano.
The flowers are blooming.	Las flores estan floreciendo.
I am writing a blog.	Estoy escribiendo un blog.
We are visiting the countryside.	Estamos visitando el campo.
The weather is stormy.	El clima esta tormentoso.
You are very ambitious.	Eres muy ambicioso.
She is making pancakes.	Ella esta haciendo panqueques.
He is feeding the turtle.	El esta alimentando a la tortuga.
The water is murky.	El agua esta turbia.
I enjoy playing soccer.	Disfruto jugar futbol.
We are having a sleepover.	Estamos teniendo una pijamada.
The food is flavorful.	La comida esta llena de sabor.
You are very charismatic.	Eres muy carismatico.
She is knitting a blanket.	Ella esta tejiendo una manta.
He is studying music.	El esta estudiando musica.
The sky is clear this morning.	El cielo esta despejado esta manana.
I am learning to knit.	Estoy aprendiendo a tejer.
We are watching the sunrise.	Estamos viendo el amanecer.
The cake is decadent.	El pastel es decadente.
You are very generous.	Eres muy generoso.
She is reading science fiction.	Ella esta leyendo ciencia ficcion.
He is playing rugby.	El esta jugando rugby.
The flowers are in full bloom.	Las flores estan en plena floracion.
I am writing a script.	Estoy escribiendo un guion.
We are visiting a farm.	Estamos visitando una granja.
The weather is chilly.	El clima esta fresco.
You are very inventive.	Eres muy inventivo.
She is making soup.	Ella esta haciendo sopa.
He is feeding the rabbits.	El esta alimentando a los conejos.
The water is tepid.	El agua esta tibia.
I enjoy drawing.	Disfruto dibujar.
We are having a celebration.	Estamos teniendo una celebracion.
The food is exquisite.	La comida es exquisita.
You are very dedicated.	Eres muy dedicado.
She is knitting a cardigan.	Ella esta tejiendo un cardigan.
He is studying architecture.	El esta estudiando arquitectura.
The sky is vibrant.	El cielo esta vibrante.
I am learning to sculpt.	Estoy aprendiendo a esculpir.
We are watching a match.	Estamos viendo un partido.
The cake is moist and fluffy.	El pastel esta humedo y esponjoso.
You are very honest.	Eres muy honesto.
She is reading fantasy.	Ella esta leyendo fantasia.
He is playing badminton.	El esta jugando badminton.
The flowers are thriving.	Las flores estan prosperando.
I am writing an article.	Estoy escribiendo un articulo.
We are visiting a castle.	Estamos visitando un castillo.
The weather is hot.	El clima esta caliente.
You are very punctual.	Eres muy puntual.
She is making tea.	Ella esta haciendo te.
He is feeding the horses.	El esta alimentando a los caballos.
The water is salty.	El agua esta salada.
I enjoy dancing.	Disfruto bailar.
We are having a reunion.	Estamos teniendo una reunion.
The food is homemade.	La comida es casera.
You are very insightful.	Eres muy perspicaz.
She is knitting gloves.	Ella esta tejiendo guantes.
He is studying literature.	El esta estudiando literatura.
The sky is clear and bright.	El cielo esta despejado y brillante.
I am learning to code.	Estoy aprendiendo a programar.
We are watching a game.	Estamos viendo un juego.
The cake is rich and creamy.	El pastel es rico y cremoso.
You are very dependable.	Eres muy confiable.
She is reading romance.	Ella esta leyendo romance.
He is playing hockey.	El esta jugando hockey.
The flowers are flourishing.	Las flores estan floreciendo.
I am writing a thesis.	Estoy escribiendo una tesis.
We are visiting a vineyard.	Estamos visitando un vinedo.
The weather is frigid.	El clima esta helado.
You are very inspiring.	Eres muy inspirador.
She is making juice.	Ella esta haciendo jugo.
He is feeding the pigs.	El esta alimentando a los cerdos.
The water is brackish.	El agua es salobre.
I enjoy jogging.	Disfruto trotar.
We are having a workshop.	Estamos teniendo un taller.
The food is spicy and flavorful.	La comida es picante y sabrosa.
You are very observant.	Eres muy observador.
She is knitting a shawl.	Ella esta tejiendo un chal.
He is studying astronomy.	El esta estudiando astronomia.
The sky is filled with stars.	El cielo esta lleno de estrellas.
I am learning to meditate.	Estoy aprendiendo a meditar.
We are watching a tournament.	Estamos viendo un torneo.
The cake is sweet and soft.	El pastel esta dulce y suave.
You are very creative.	Eres muy creativo.
She is reading drama.	Ella esta leyendo drama.
He is playing cricket.	El esta jugando criquet.
The flowers are blossoming.	Las flores estan floreciendo.
I am writing a novel.	Estoy escribiendo una novela.
We are visiting a monastery.	Estamos visitando un monasterio.
The weather is moderate.	El clima es moderado.
You are very resourceful.	Eres muy ingenioso.
She is making coffee.	Ella esta haciendo cafe.
He is feeding the ducks.	El esta alimentando a los patos.
The water is turquoise.	El agua es turquesa.
I enjoy gardening.	Disfruto jardineria.
We are having a brainstorming session.	Estamos teniendo una sesion de lluvia de ideas.
The food is savory.	La comida es sabrosa.
You are very attentive.	Eres muy atento.
She is knitting a beanie.	Ella esta tejiendo un gorro.
He is studying engineering.	El esta estudiando ingenieria.
The sky is overcast with clouds.	El cielo esta cubierto de nubes.
I am learning to play the flute.	Estoy aprendiendo a tocar la flauta.
We are watching a recital.	Estamos viendo un recital.
The cake is light and fluffy.	El pastel esta ligero y esponjoso.
You are very intelligent.	Eres muy inteligente.
She is reading adventure stories.	Ella esta leyendo historias de aventuras.
He is playing table tennis.	El esta jugando tenis de mesa.
The flowers are sprouting.	Las flores estan brotando.
I am writing a diary.	Estoy escribiendo un diario.
We are visiting a national park.	Estamos visitando un parque nacional.
The weather is unpredictable.	El clima es impredecible.
You are very meticulous.	Eres muy meticuloso.
She is making bread.	Ella esta haciendo pan.
He is feeding the sheep.	El esta alimentando a las ovejas.
The water is shimmering.	El agua esta reluciente.
I enjoy stargazing.	Disfruto mirar las estrellas.
We are having a cookout.	Estamos haciendo una parrillada.
The food is fresh and healthy.	La comida es fresca y saludable.
You are very supportive.	Eres muy comprensivo.
She is knitting a baby blanket.	Ella esta tejiendo una manta para bebe.
He is studying computer science.	El esta estudiando ciencias de la computacion.
The sky is crystal clear.	El cielo esta cristalino.
I am learning to write.	Estoy aprendiendo a escribir.
We are watching a marathon.	Estamos viendo un maraton.
The cake is thick and rich.	El pastel esta espeso y rico.
You are very reliable.	Eres muy confiable.
She is reading historical fiction.	Ella esta leyendo ficcion historica.
He is playing basketball.	El esta jugando baloncesto.
The flowers are radiant.	Las flores estan radiantes.
I am writing a letter to a friend.	Estoy escribiendo una carta a un amigo.
We are visiting a new city.	Estamos visitando una nueva ciudad.
The weather is dry.	El clima esta seco.
You are very analytical.	Eres muy analitico.
She is making pasta.	Ella esta haciendo pasta.
He is feeding the goats.	El esta alimentando a las cabras.
The water is crystal clear.	El agua esta cristalina.
I enjoy baking.	Disfruto hornear.
We are having a barbecue.	Estamos haciendo una barbacoa.
The food is tangy.	La comida esta acida.
You are very curious.	Eres muy curioso.
She is knitting a baby hat.	Ella esta tejiendo un gorro para bebe.
He is studying environmental science.	El esta estudiando ciencias ambientales.
The sky is vivid.	El cielo esta vivido.
I am learning to play the saxophone.	Estoy aprendiendo a tocar el saxofon.
We are watching an opera.	Estamos viendo una opera.
The cake is velvety.	El pastel es aterciopelado.
You are very wise.	Eres muy sabio.
She is reading non-fiction.	Ella esta leyendo no ficcion.
He is playing handball.	El esta jugando balonmano.
The flowers are fragrant.	Las flores son fragantes.
I am writing a memoir.	Estoy escribiendo unas memorias.
We are visiting a historic site.	Estamos visitando un sitio historico.
The weather is gloomy.	El clima esta sombrio.
You are very detail-oriented.	Eres muy detallista.
She is making a cake.	Ella esta haciendo un pastel.
He is feeding the chickens.	El esta alimentando a las gallinas.
The water is sparkling.	El agua esta brillante.
I enjoy playing board games.	Disfruto jugar juegos de mesa.
We are having a bonfire.	Estamos haciendo una fogata.
The food is zesty.	La comida esta picante.
You are very imaginative.	Eres muy imaginativo.
She is knitting a sweater for winter.	Ella esta tejiendo un sueter para el invierno.
He is studying geology.	El esta estudiando geologia.
The sky is dark and stormy.	El cielo esta oscuro y tormentoso.
I am learning to design.	Estoy aprendiendo a disenar.
We are watching a movie.	Estamos viendo una pelicula.
The cake is sweet and delicious.	El pastel esta dulce y delicioso.
You are very humble.	Eres muy humilde.
She is reading a magazine.	Ella esta leyendo una revista.
He is playing golf.	El esta jugando golf.
The flowers are in bloom.	Las flores estan en flor.
I am writing a song.	Estoy escribiendo una cancion.
We are visiting a new restaurant.	Estamos visitando un nuevo restaurante.
The weather is scorching.	El clima esta abrasador.
You are very perceptive.	Eres muy perspicaz.
She is making a fruit salad.	Ella esta haciendo una ensalada de frutas.
He is feeding the cows.	El esta alimentando a las vacas.
The water is refreshing.	El agua es refrescante.
I enjoy traveling.	Disfruto viajar.
We are having a family gathering.	Estamos teniendo una reunion familiar.
The food is spicy and tangy.	La comida es picante y acida.
You are very empathetic.	Eres muy empatico.
She is knitting a pair of gloves.	Ella esta tejiendo un par de guantes.
He is studying medicine.	El esta estudiando medicina.
The sky is dark with clouds.	El cielo esta oscuro con nubes.
I am learning to play the trumpet.	Estoy aprendiendo a tocar la trompeta.
We are watching a play.	Estamos viendo una obra de teatro.
The cake is rich and flavorful.	El pastel es rico y sabroso.
You are very diligent.	Eres muy diligente.
She is reading a travel guide.	Ella esta leyendo una guia de viajes.
He is playing rugby.	El esta jugando rugby.
The flowers are beautiful and vibrant.	Las flores son hermosas y vibrantes.
I am writing an essay.	Estoy escribiendo un ensayo.
We are visiting a local market.	Estamos visitando un mercado local.
The weather is cool.	El clima esta fresco.
You are very analytical.	Eres muy analitico.
She is making soup.	Ella esta haciendo sopa.
He is feeding the cats.	El esta alimentando a los gatos.
The water is calm.	El agua esta tranquila.
I enjoy hiking.	Disfruto hacer senderismo.
We are having a study session.	Estamos teniendo una sesion de estudio.
The food is spicy and rich.	La comida es picante y rica.
You are very observant.	Eres muy observador.
She is knitting a winter scarf.	Ella esta tejiendo una bufanda de invierno.
He is studying law.	El esta estudiando derecho.
The sky is clear and beautiful.	El cielo esta despejado y hermoso.
I am learning to play the cello.	Estoy aprendiendo a tocar el violonchelo.
We are watching a ballet.	Estamos viendo un ballet.
The cake is light and airy.	El pastel esta ligero y aireado.
You are very courteous.	Eres muy cortes.
She is reading a cookbook.	Ella esta leyendo un libro de cocina.
He is playing tennis.	El esta jugando tenis.
The flowers are lovely.	Las flores son encantadoras.
I am writing a short story.	Estoy escribiendo un cuento.
We are visiting an art gallery.	Estamos visitando una galeria de arte.
The weather is pleasant.	El clima esta agradable.
You are very intuitive.	Eres muy intuitivo.
She is making a birthday cake.	Ella esta haciendo un pastel de cumpleanos.
He is feeding the fish.	El esta alimentando a los peces.
The water is clear and blue.	El agua esta clara y azul.
I enjoy cooking.	Disfruto cocinar.
We are having a game night.	Estamos teniendo una noche de juegos.
The food is savory and rich.	La comida es sabrosa y rica.
You are very creative.	Eres muy creativo.
She is knitting a shawl.	Ella esta tejiendo un chal.
